name,team_code,ppg,estimated_value,estimated_value_min,estimated_value_max
Jaylen Brown,BOS,28.8,691,346,749
Shai Gilgeous-Alexander,OKC,31.1,653,467,746
Nikola Jokić,DEN,27.8,556,195,723
Donovan Mitchell,CLE,27.9,530,335,558
Jayson Tatum,BOS,21.8,523,262,567
Jamal Murray,DEN,25.4,508,178,660
Payton Pritchard,BOS,17.0,408,204,442
Derrick White,BOS,16.6,398,199,432
James Harden,CLE,20.6,391,247,412
Chet Holmgren,OKC,17.1,359,257,410
Jalen Williams,OKC,17.1,359,257,410
Evan Mobley,CLE,18.3,348,220,366
Aaron Gordon,DEN,16.2,324,113,421
Jalen Brunson,NYK,26.0,312,260,598
Victor Wembanyama,SAS,24.8,298,248,570
Jarrett Allen,CLE,15.4,293,185,308
Cade Cunningham,DET,24.4,293,244,439
Peyton Watson,DEN,14.6,292,102,380
Ajay Mitchell,OKC,13.6,286,204,326
Kevin Durant,HOU,25.9,285,181,311
Tim Hardaway Jr.,DEN,13.5,270,95,351
Jaylon Tyson,CLE,13.1,249,157,262
Neemias Queta,BOS,10.3,247,124,268
Cameron Johnson,DEN,12.2,244,85,317
Sam Merrill,CLE,12.8,243,154,256
Christian Braun,DEN,12.0,240,84,312
Karl-Anthony Towns,NYK,20.0,240,200,460
Jalen Duren,DET,19.5,234,195,351
Isaiah Joe,OKC,11.1,233,167,266
Max Strus,CLE,12.2,232,146,244
Nikola Vučević,BOS,9.4,226,113,244
Alperen Şengün,HOU,20.3,223,142,244
De'Aaron Fox,SAS,18.5,222,185,426
Jared McCain,OKC,10.3,216,155,247
Sam Hauser,BOS,9.0,216,108,234
OG Anunoby,NYK,16.9,203,169,389
Anthony Edwards,MIN,28.9,202,145,405
Stephon Castle,SAS,16.8,202,168,386
Luka Dončić,LAL,33.5,201,134,369
Amen Thompson,HOU,18.0,198,126,216
Aaron Wiggins,OKC,9.4,197,141,226
Isaiah Hartenstein,OKC,9.2,193,138,221
Luka Garza,BOS,7.7,185,92,200
Cason Wallace,OKC,8.6,181,129,206
Luguentz Dort,OKC,8.4,176,126,202
Mikal Bridges,NYK,14.6,175,146,336
Jabari Smith Jr.,HOU,15.8,174,111,190
Devin Vassell,SAS,14.0,168,140,322
Kawhi Leonard,LAC,28.0,168,56,196
Jonas Valančiūnas,DEN,8.4,168,59,218
Keon Ellis,CLE,8.5,162,102,170
Tobias Harris,DET,13.2,158,132,238
Keldon Johnson,SAS,13.1,157,131,301
Devin Booker,PHO,26.1,157,52,183
Bruce Brown,DEN,7.8,156,55,203
Dennis Schröder,CLE,8.2,156,98,164
Jaylin Williams,OKC,7.2,151,108,173
Reed Sheppard,HOU,13.5,149,95,162
Julius Randle,MIN,21.1,148,106,295
Josh Hart,NYK,12.1,145,121,278
Duncan Robinson,DET,12.1,145,121,218
Dylan Harper,SAS,11.8,142,118,271
Miles McBride,NYK,11.8,142,118,271
Brandon Miller,CHO,20.2,141,20,101
LaMelo Ball,CHO,20.0,140,20,100
Austin Reaves,LAL,23.3,140,93,256
Josh Minott,BOS,5.8,139,70,151
Julian Strawther,DEN,6.7,134,47,174
Paolo Banchero,ORL,22.3,134,45,134
Julian Champagnie,SAS,11.1,133,111,255
Kon Knueppel,CHO,18.7,131,19,94
Kenrich Williams,OKC,6.2,130,93,149
Alex Caruso,OKC,6.2,130,93,149
Jordan Walsh,BOS,5.3,127,64,138
LeBron James,LAL,20.9,125,84,230
Baylor Scheierman,BOS,5.2,125,62,135
Desmond Bane,ORL,20.5,123,41,123
Franz Wagner,ORL,20.4,122,41,122
Darius Garland,LAC,20.4,122,41,143
Dillon Brooks,PHO,20.3,122,41,142
Miles Bridges,CHO,17.3,121,17,87
Isaiah Stewart,DET,10.0,120,100,180
Ausar Thompson,DET,9.9,119,99,178
Thomas Bryant,CLE,6.2,118,74,124
Harrison Barnes,SAS,9.8,118,98,225
Tari Eason,HOU,10.5,116,74,126
Daniss Jenkins,DET,9.5,114,95,171
Jalen Johnson,ATL,22.6,113,90,136
Landry Shamet,NYK,9.3,112,93,214
Spencer Jones,DEN,5.5,110,39,143
Coby White,CHO,15.7,110,16,79
Dean Wade,CLE,5.8,110,70,116
Bennedict Mathurin,LAC,18.0,108,36,126
Brandon Ingram,TOR,21.5,108,86,129
Jalen Green,PHO,17.8,107,36,125
Nae'Qwan Tomlin,CLE,5.5,105,66,110
Nickeil Alexander-Walker,ATL,20.9,105,84,125
Jaden McDaniels,MIN,14.8,104,74,207
Jordan Clarkson,NYK,8.7,104,87,200
Kevin Huerter,DET,8.4,101,84,151
Branden Carlson,OKC,4.8,101,72,115
Ayo Dosunmu,MIN,14.3,100,72,200
Grayson Allen,PHO,16.7,100,33,117
Collin Sexton,CHO,14.2,99,14,71
Jaden Ivey,DET,8.2,98,82,148
Jalen Pickett,DEN,4.9,98,34,127
Ron Holland,DET,8.2,98,82,148
Trae Young,ATL,19.3,97,77,116
RJ Barrett,TOR,19.1,96,76,115
Naz Reid,MIN,13.6,95,68,190
Tyrese Proctor,CLE,4.9,93,59,98
CJ McCollum,ATL,18.4,92,74,110
Scottie Barnes,TOR,18.1,91,72,109
Hugo González,BOS,3.8,91,46,99
Anthony Black,ORL,15.1,91,30,91
Paul Reed,DET,7.5,90,75,135
Caris LeVert,DET,7.4,89,74,133
Lonzo Ball,CLE,4.6,87,55,92
Ivica Zubac,LAC,14.4,86,29,101
Craig Porter Jr.,CLE,4.5,86,54,90
Kristaps Porziņģis,ATL,17.1,86,68,103
Donte DiVincenzo,MIN,12.2,85,61,171
Javonte Green,DET,7.0,84,70,126
Immanuel Quickley,TOR,16.6,83,66,100
John Collins,LAC,13.7,82,27,96
Jalen Suggs,ORL,13.7,82,27,82
DaRon Holmes,DEN,4.0,80,28,104
Luke Kornet,SAS,6.6,79,66,152
Ron Harper Jr.,BOS,3.3,79,40,86
Ousmane Dieng,OKC,3.7,78,56,89
Onyeka Okongwu,ATL,15.4,77,62,92
Collin Gillespie,PHO,12.7,76,25,89
Rudy Gobert,MIN,10.9,76,55,153
Deandre Ayton,LAL,12.4,74,50,136
Jose Alvarado,NYK,6.1,73,61,140
Zeke Nnaji,DEN,3.6,72,25,94
Wendell Carter Jr.,ORL,11.9,71,24,71
Mark Williams,PHO,11.7,70,23,82
Mitchell Robinson,NYK,5.7,68,57,131
Rui Hachimura,LAL,11.3,68,45,124
Charles Bassey,BOS,2.8,67,34,73
